ReturnID,SalesID,OrderID,ReturnDateKey,ReturnReason,ReturnStatus,RefundAmount
67,510,195,20240309,Changed mind,Refunded,17.65
68,512,196,20240315,Changed mind,Refunded,80.28
69,515,197,20240208,Missing parts,Refunded,543.59
70,526,202,20240405,Wrong item,Refunded,7.7
71,528,202,20240311,Damaged,Approved,0.0
72,531,204,20250426,Damaged,Refunded,86.19
73,551,213,20241101,Changed mind,Refunded,94.65
74,593,231,20251108,Defective,Refunded,465.63
75,601,234,20241023,Damaged,Refunded,33.64
76,607,236,20241202,Missing parts,Refunded,300.38
77,620,241,20240302,Allergic reaction,Refunded,116.46
78,630,244,20250627,Not as expected,Refunded,109.33
79,663,254,20241107,Not as expected,Refunded,186.37
80,666,255,20251006,Wrong item,Refunded,35.33
81,675,258,20251203,Missing parts,Refunded,683.46
82,679,260,20241210,Damaged,Approved,0.0
83,686,263,20241217,Changed mind,Refunded,147.15
84,703,270,20250101,Size/Fit,Refunded,61.77
85,706,270,20241217,Changed mind,Refunded,52.55
86,726,278,20250407,Changed mind,Refunded,165.3
87,735,282,20241218,Not as expected,Approved,0.0
88,769,295,20250817,Not as expected,Refunded,189.94
89,777,299,20251211,Damaged,Refunded,22.84
90,786,302,20240324,Size/Fit,Refunded,174.81
91,790,303,20241008,Not as expected,Refunded,50.68
92,804,308,20240511,Changed mind,Refunded,87.66
93,806,309,20250928,Not as expected,Refunded,141.8
94,813,312,20240227,Damaged,Refunded,192.86
95,814,312,20240311,Damaged,Refunded,188.43
96,826,319,20240808,Damaged,Refunded,29.88
97,827,319,20240726,Size/Fit,Refunded,51.66
98,831,320,20240627,Wrong item,Approved,0.0
99,843,324,20251113,Damaged,Refunded,137.2
100,846,325,20251022,Damaged,Approved,0.0
101,850,327,20251017,Damaged,Refunded,87.19
102,854,330,20251001,Size/Fit,Refunded,93.35
103,870,335,20251021,Not as expected,Refunded,80.96
104,884,339,20250913,Damaged,Refunded,223.39
105,909,349,20240509,Not as expected,Refunded,249.86
106,920,354,20250410,Late delivery,Refunded,31.49
107,931,358,20251231,Size/Fit,Refunded,43.52
108,934,359,20250830,Not as expected,Refunded,119.56
109,942,364,20250409,Changed mind,Approved,0.0
110,944,365,20240731,Size/Fit,Refunded,360.03
111,950,366,20241113,Defective,Approved,0.0
112,953,367,20241014,Allergic reaction,Refunded,58.96
113,956,368,20250916,Missing parts,Refunded,280.73
114,962,370,20240419,Wrong item,Approved,0.0
115,968,372,20251110,Size/Fit,Refunded,89.99
116,987,377,20241106,Not as expected,Refunded,128.08
117,990,378,20240118,Not as expected,Approved,0.0
118,1002,380,20240110,Wrong item,Approved,0.0
119,1005,381,20250520,Not as expected,Refunded,73.42
120,1008,382,20251106,Damaged,Refunded,46.23
121,1010,383,20250112,Missing parts,Refunded,118.74
122,1016,387,20250615,Changed mind,Refunded,31.94
123,1029,392,20251124,Late delivery,Refunded,13.01
124,1030,393,20251231,Not as expected,Refunded,208.24
125,1033,395,20241017,Missing parts,Refunded,131.33
126,1043,398,20250414,Size/Fit,Refunded,181.74
127,1051,401,20241210,Damaged,Refunded,77.17
128,1081,413,20250624,Not as expected,Refunded,75.69
129,1086,415,20250330,Not as expected,Refunded,61.78
130,1090,417,20250329,Damaged,Refunded,57.16
131,1099,420,20241101,Changed mind,Pending,0.0
132,1100,421,20241220,Damaged,Refunded,260.43
133,1108,424,20250822,Changed mind,Refunded,138.06
134,1111,426,20240625,Not as expected,Pending,0.0
135,1117,428,20241026,Late delivery,Refunded,29.68
136,1125,431,20241201,Damaged,Refunded,55.1
137,1128,432,20250915,Late delivery,Refunded,64.15
138,1131,433,20250427,Changed mind,Refunded,107.76
139,1133,433,20250513,Not as expected,Refunded,159.93
140,1135,433,20250525,Not as expected,Refunded,80.34
141,1139,435,20240430,Late delivery,Refunded,22.85
142,1144,437,20240106,Allergic reaction,Approved,0.0
143,1150,441,20240613,Size/Fit,Pending,0.0
144,1158,444,20240224,Late delivery,Refunded,15.95
145,1161,445,20240722,Size/Fit,Refunded,125.96
146,1168,448,20240815,Changed mind,Refunded,222.54
147,1169,449,20240509,Not as expected,Refunded,122.33
148,1198,464,20241207,Damaged,Refunded,147.94
149,1207,468,20250628,Damaged,Refunded,30.55
150,1211,470,20251221,Missing parts,Refunded,165.41
151,1212,470,20251215,Defective,Refunded,293.82
152,1215,471,20250803,Not as expected,Refunded,50.97
153,1219,473,20251225,Damaged,Refunded,68.74
154,1223,475,20240415,Not as expected,Refunded,245.42
155,1230,478,20250203,Changed mind,Refunded,139.43
156,1231,478,20250125,Not as expected,Refunded,75.6
157,1256,487,20250711,Damaged,Refunded,13.54
158,1287,499,20240802,Not as expected,Refunded,404.0
159,1296,502,20241127,Missing parts,Refunded,817.2
160,1298,503,20240801,Damaged,Refunded,105.53
161,1301,504,20240425,Changed mind,Refunded,24.56
162,1328,516,20240105,Damaged,Refunded,262.2
163,1343,522,20250301,Changed mind,Refunded,149.95
164,1359,529,20240407,Allergic reaction,Refunded,143.62
165,1364,531,20250724,Damaged,Refunded,134.76
166,1368,532,20250406,Damaged,Refunded,237.42
167,1373,535,20241231,Not as expected,Refunded,206.65
168,1407,546,20250725,Not as expected,Approved,0.0
169,1411,549,20240914,Damaged,Refunded,310.11
170,1415,549,20240918,Damaged,Refunded,34.38
171,1419,550,20250110,Damaged,Refunded,38.65
172,1430,553,20250906,Damaged,Refunded,297.45
173,1438,556,20240211,Not as expected,Refunded,282.61
174,1442,559,20250827,Not as expected,Refunded,241.51
175,1446,561,20250706,Changed mind,Refunded,116.04
176,1470,568,20250827,Wrong item,Approved,0.0
177,1492,577,20251012,Not as expected,Refunded,433.35
178,1497,579,20250802,Damaged,Refunded,21.96
179,1525,589,20241204,Damaged,Approved,0.0
180,1545,598,20240702,Size/Fit,Refunded,41.42
181,1560,602,20240706,Damaged,Refunded,62.55
182,1565,606,20240708,Wrong item,Refunded,20.43
183,1578,613,20240317,Changed mind,Refunded,70.78
184,1606,624,20250401,Damaged,Refunded,181.02
185,1618,627,20241113,Not as expected,Approved,0.0
186,1620,628,20251203,Missing parts,Refunded,77.99
187,1622,628,20251227,Changed mind,Refunded,59.01
188,1633,631,20250110,Damaged,Refunded,303.85
189,1640,634,20251208,Damaged,Refunded,149.77
190,1643,635,20250824,Damaged,Refunded,28.89
191,1661,643,20241121,Changed mind,Refunded,184.35
192,1708,660,20240820,Changed mind,Refunded,108.83
193,1729,667,20250918,Allergic reaction,Pending,0.0
194,1734,670,20250912,Changed mind,Refunded,444.32
195,1735,670,20250915,Changed mind,Approved,0.0
196,1737,671,20240816,Defective,Refunded,174.42
197,1748,676,20250726,Changed mind,Refunded,12.54
198,1750,677,20240211,Not as expected,Refunded,206.05
199,1752,677,20240301,Not as expected,Refunded,98.04
200,1764,682,20240216,Not as expected,Refunded,759.42
201,1787,691,20250412,Size/Fit,Refunded,214.88
202,1824,712,20240829,Not as expected,Approved,0.0
203,1827,712,20240810,Damaged,Refunded,200.0
204,1830,713,20240225,Not as expected,Approved,0.0
205,1834,715,20250828,Not as expected,Refunded,22.41
206,1837,717,20250708,Size/Fit,Approved,0.0
207,1877,733,20250701,Not as expected,Refunded,91.99
208,1878,733,20250701,Changed mind,Refunded,44.17
209,1891,738,20240917,Damaged,Refunded,32.3
210,1894,739,20250507,Changed mind,Refunded,216.14
211,1895,739,20250427,Damaged,Refunded,36.66
212,1897,740,20250715,Not as expected,Refunded,115.8
213,1909,745,20240219,Not as expected,Refunded,370.79
214,1910,745,20240217,Changed mind,Refunded,55.04
215,1937,757,20250719,Not as expected,Refunded,67.73
216,1954,764,20240824,Changed mind,Refunded,53.99
217,1958,766,20250904,Damaged,Refunded,18.61
218,1968,770,20240617,Damaged,Approved,0.0
219,1973,772,20250524,Defective,Refunded,93.13
220,1981,777,20250405,Changed mind,Refunded,19.08
221,1990,781,20240414,Not as expected,Refunded,61.11
222,2005,788,20241202,Changed mind,Approved,0.0
223,2013,791,20250326,Not as expected,Refunded,37.74
224,2017,792,20241120,Damaged,Refunded,165.08
225,2018,792,20241128,Wrong item,Refunded,17.59
226,2023,793,20250524,Not as expected,Refunded,36.33
227,2029,796,20250121,Not as expected,Refunded,25.36
228,2055,807,20240629,Not as expected,Approved,0.0
229,2056,808,20250513,Not as expected,Refunded,59.33
230,2057,808,20250429,Damaged,Refunded,72.65
231,2068,812,20250811,Damaged,Approved,0.0
232,2078,815,20250117,Damaged,Refunded,187.51
233,2099,824,20240630,Size/Fit,Refunded,87.06
234,2116,833,20250415,Damaged,Refunded,639.86
235,2120,835,20240325,Not as expected,Refunded,547.6
236,2121,835,20240324,Wrong item,Refunded,53.92
237,2125,839,20250216,Size/Fit,Pending,0.0
238,2161,851,20250719,Not as expected,Refunded,132.79
239,2164,851,20250703,Not as expected,Refunded,68.34
240,2167,853,20240525,Missing parts,Refunded,773.08
241,2168,854,20240505,Size/Fit,Refunded,79.48
242,2169,854,20240509,Wrong item,Refunded,7.08
243,2184,860,20251007,Late delivery,Approved,0.0
244,2187,860,20251002,Damaged,Refunded,60.26
245,2204,867,20240808,Late delivery,Approved,0.0
246,2238,882,20251231,Defective,Approved,0.0
247,2251,888,20251231,Damaged,Refunded,53.21
248,2254,889,20241101,Not as expected,Refunded,26.34
249,2265,893,20240730,Defective,Refunded,153.0
250,2275,896,20240216,Not as expected,Approved,0.0
251,2277,897,20250607,Not as expected,Refunded,56.27
252,2299,907,20241129,Late delivery,Refunded,5.75
253,2301,908,20240428,Damaged,Refunded,443.72
254,2312,911,20240127,Damaged,Refunded,33.69
255,2329,918,20240407,Late delivery,Approved,0.0
256,2332,919,20251007,Size/Fit,Refunded,33.39
257,2366,937,20240710,Changed mind,Refunded,97.79
258,2379,942,20250516,Changed mind,Refunded,116.09
259,2386,944,20250418,Damaged,Refunded,184.17
260,2390,945,20250429,Damaged,Refunded,24.4
261,2392,946,20240912,Not as expected,Approved,0.0
262,2393,946,20240912,Not as expected,Refunded,22.92
263,2395,948,20240807,Damaged,Refunded,21.91
264,2397,948,20240809,Damaged,Pending,0.0
265,2401,950,20240207,Not as expected,Refunded,54.18
266,2404,951,20251008,Damaged,Approved,0.0
267,2415,954,20250704,Damaged,Approved,0.0
268,2428,961,20250512,Not as expected,Refunded,29.58
269,2439,966,20250319,Changed mind,Refunded,175.03
270,2440,967,20250404,Damaged,Refunded,119.64
271,2452,971,20250120,Not as expected,Refunded,360.02
272,2471,978,20250817,Not as expected,Refunded,91.52
273,2475,979,20250316,Damaged,Refunded,8.47
274,2476,979,20250227,Wrong item,Refunded,49.26
275,2489,984,20250916,Size/Fit,Pending,0.0
276,2501,988,20241021,Missing parts,Pending,0.0
277,2510,993,20251231,Damaged,Refunded,306.77
278,2511,993,20251231,Damaged,Refunded,109.89
279,2523,998,20241230,Not as expected,Refunded,88.57
280,2526,1000,20250829,Size/Fit,Refunded,69.12
281,2530,1001,20250716,Changed mind,Refunded,99.21
282,2531,1002,20250108,Not as expected,Refunded,61.16
283,2545,1009,20250307,Not as expected,Pending,0.0
284,2550,1011,20250208,Changed mind,Refunded,168.32
285,2552,1012,20240829,Wrong item,Pending,0.0
286,2574,1020,20251231,Not as expected,Pending,0.0
287,2578,1022,20240910,Changed mind,Refunded,128.85
288,2579,1022,20240903,Not as expected,Refunded,28.31
289,2580,1022,20240822,Changed mind,Refunded,15.96
290,2603,1032,20241017,Damaged,Refunded,46.54
291,2610,1036,20240610,Damaged,Refunded,212.67
292,2621,1041,20240223,Defective,Pending,0.0
293,2624,1041,20240219,Late delivery,Pending,0.0
294,2633,1045,20240729,Not as expected,Refunded,176.86
295,2634,1046,20240522,Not as expected,Approved,0.0
296,2641,1048,20251106,Damaged,Approved,0.0
297,2643,1048,20251029,Changed mind,Refunded,31.44
298,2644,1049,20241118,Defective,Refunded,135.62
299,2653,1052,20250615,Not as expected,Refunded,29.1
300,2660,1053,20250912,Not as expected,Refunded,49.3
301,2666,1054,20240416,Changed mind,Refunded,67.53
302,2689,1061,20241220,Damaged,Refunded,614.98
303,2690,1062,20250806,Damaged,Pending,0.0
304,2702,1069,20240512,Size/Fit,Refunded,57.49
305,2712,1073,20250428,Not as expected,Refunded,96.52
306,2732,1082,20240302,Changed mind,Refunded,176.81
307,2752,1092,20251107,Damaged,Pending,0.0
308,2762,1096,20251005,Not as expected,Refunded,146.67
309,2766,1097,20240227,Wrong item,Refunded,14.22
310,2770,1099,20251030,Damaged,Refunded,56.1
311,2792,1109,20250813,Not as expected,Refunded,38.82
312,2851,1132,20241204,Damaged,Refunded,54.62
313,2855,1134,20240311,Missing parts,Approved,0.0
314,2861,1136,20250930,Damaged,Refunded,9.44
315,2878,1143,20250524,Changed mind,Refunded,34.25
316,2882,1145,20240314,Changed mind,Refunded,29.21
317,2890,1149,20250517,Damaged,Refunded,399.43
318,2901,1154,20251220,Changed mind,Refunded,5.28
319,2904,1154,20251231,Not as expected,Refunded,46.44
320,2923,1163,20240531,Size/Fit,Refunded,44.83
321,2925,1163,20240701,Changed mind,Refunded,13.19
322,2926,1163,20240609,Size/Fit,Approved,0.0
323,2946,1170,20240908,Damaged,Refunded,111.63
324,2950,1171,20240912,Allergic reaction,Refunded,61.57
325,2956,1174,20250520,Not as expected,Approved,0.0
326,2961,1175,20240209,Changed mind,Refunded,78.12
327,2977,1180,20240213,Changed mind,Refunded,27.22
328,2989,1186,20241121,Not as expected,Refunded,319.78
329,3000,1191,20240806,Changed mind,Refunded,33.19
330,3020,1198,20250713,Defective,Refunded,320.45
331,3021,1198,20250720,Not as expected,Approved,0.0
332,3025,1199,20250328,Not as expected,Refunded,112.1
333,3035,1202,20250909,Damaged,Refunded,460.78
334,3063,1212,20240529,Not as expected,Approved,0.0
335,3071,1214,20251120,Not as expected,Refunded,308.32
336,3082,1217,20250829,Allergic reaction,Approved,0.0
337,3086,1219,20240622,Missing parts,Refunded,40.44
338,3089,1220,20240212,Damaged,Refunded,286.44
339,3097,1222,20250524,Changed mind,Refunded,33.52
340,3118,1231,20250804,Not as expected,Approved,0.0
341,3120,1231,20250904,Size/Fit,Approved,0.0
342,3181,1257,20250404,Not as expected,Refunded,250.73
343,3186,1259,20250925,Damaged,Refunded,396.01
344,3188,1260,20250324,Damaged,Refunded,86.24
345,3193,1261,20240916,Damaged,Refunded,670.02
346,3216,1268,20250709,Changed mind,Approved,0.0
347,3224,1270,20240306,Damaged,Refunded,36.71
348,3232,1272,20250320,Damaged,Refunded,71.05
349,3246,1279,20251231,Allergic reaction,Refunded,71.36
350,3251,1281,20250116,Not as expected,Refunded,64.58
351,3254,1282,20241023,Not as expected,Approved,0.0
352,3256,1283,20240217,Defective,Refunded,383.37
353,3260,1284,20251122,Size/Fit,Pending,0.0
354,3273,1289,20241214,Damaged,Refunded,48.56
355,3276,1291,20240718,Damaged,Approved,0.0
356,3286,1296,20240702,Late delivery,Refunded,49.7
357,3288,1296,20240710,Damaged,Refunded,161.73
358,3330,1314,20251130,Not as expected,Refunded,99.09
359,3354,1323,20241024,Damaged,Refunded,587.91
360,3368,1328,20250107,Damaged,Refunded,13.1
361,3376,1331,20240414,Damaged,Refunded,77.99
362,3378,1332,20251231,Changed mind,Refunded,135.23
363,3391,1337,20240214,Damaged,Pending,0.0
364,3395,1338,20240719,Defective,Refunded,2376.25
365,3400,1340,20240905,Damaged,Approved,0.0
366,3403,1342,20250702,Wrong item,Approved,0.0
367,3414,1348,20240725,Changed mind,Refunded,131.92
368,3419,1349,20250621,Size/Fit,Approved,0.0
369,3420,1350,20240422,Wrong item,Refunded,12.2
370,3441,1359,20251231,Late delivery,Refunded,11.65
371,3442,1359,20251231,Size/Fit,Pending,0.0
372,3460,1364,20240512,Not as expected,Refunded,94.03
373,3465,1366,20240828,Not as expected,Approved,0.0
374,3477,1369,20240225,Not as expected,Refunded,220.75
375,3495,1375,20251219,Changed mind,Pending,0.0
376,3509,1380,20241102,Damaged,Refunded,11.58
377,3532,1390,20241022,Damaged,Approved,0.0
378,3536,1392,20240523,Changed mind,Refunded,36.12
379,3542,1393,20240329,Defective,Refunded,346.92
380,3549,1396,20250206,Not as expected,Refunded,67.64
381,3556,1399,20250606,Damaged,Refunded,728.56
382,3574,1407,20240129,Damaged,Refunded,1396.39
383,3581,1410,20251103,Changed mind,Refunded,58.5
384,3610,1425,20241207,Not as expected,Refunded,54.19
385,3617,1428,20240916,Defective,Refunded,152.52
386,3628,1432,20241105,Changed mind,Refunded,47.85
387,3642,1437,20250405,Changed mind,Refunded,46.0
388,3653,1440,20240709,Changed mind,Refunded,286.57
389,3658,1441,20250627,Late delivery,Refunded,65.79
390,3675,1447,20250426,Damaged,Approved,0.0
391,3677,1448,20250203,Not as expected,Refunded,96.59
392,3684,1452,20241127,Changed mind,Refunded,81.51
393,3687,1452,20241122,Damaged,Refunded,82.03
394,3692,1454,20250920,Size/Fit,Refunded,43.37
395,3696,1455,20250404,Wrong item,Refunded,11.31
396,3697,1456,20241225,Changed mind,Refunded,48.5
397,3702,1459,20240130,Damaged,Approved,0.0
398,3708,1461,20240515,Changed mind,Approved,0.0
399,3721,1466,20240928,Not as expected,Approved,0.0
400,3722,1466,20240921,Changed mind,Pending,0.0
401,3723,1467,20251231,Changed mind,Pending,0.0
402,3739,1474,20251231,Not as expected,Refunded,68.27
403,3769,1483,20250210,Not as expected,Refunded,135.01
404,3770,1483,20250208,Not as expected,Refunded,48.55
405,3771,1483,20250205,Damaged,Approved,0.0
406,3779,1487,20240902,Damaged,Approved,0.0
407,3781,1489,20241101,Changed mind,Refunded,76.08
408,3803,1496,20251231,Changed mind,Refunded,223.15
409,3806,1497,20251010,Not as expected,Pending,0.0
410,3827,1506,20251218,Changed mind,Approved,0.0
411,3831,1508,20250607,Not as expected,Refunded,85.66
412,3835,1510,20251106,Defective,Refunded,692.96
413,3856,1521,20251113,Missing parts,Refunded,324.3
414,3866,1524,20251029,Defective,Refunded,129.87
415,3882,1532,20241222,Allergic reaction,Refunded,28.43
416,3900,1540,20250217,Allergic reaction,Refunded,46.06
417,3903,1540,20250212,Damaged,Refunded,38.21
418,3905,1541,20241016,Size/Fit,Refunded,114.18
419,3933,1555,20251031,Damaged,Refunded,35.15
420,3937,1557,20240126,Changed mind,Refunded,274.57
421,3938,1558,20251204,Damaged,Refunded,17.8
422,3951,1560,20250622,Not as expected,Refunded,106.92
423,3954,1561,20241207,Missing parts,Refunded,211.0
424,3955,1562,20240825,Changed mind,Refunded,222.97
425,3975,1568,20240617,Damaged,Refunded,41.82
426,3980,1570,20250502,Allergic reaction,Refunded,107.89
427,3989,1572,20250129,Not as expected,Refunded,61.02
428,3998,1575,20250401,Size/Fit,Refunded,194.19
429,4000,1576,20250827,Not as expected,Approved,0.0
430,4014,1582,20250929,Not as expected,Refunded,45.25
431,4067,1606,20240819,Damaged,Refunded,537.04
432,4069,1606,20240905,Size/Fit,Refunded,22.6
433,4076,1608,20251125,Damaged,Refunded,263.7
434,4089,1614,20250225,Not as expected,Pending,0.0
435,4106,1621,20240729,Changed mind,Refunded,106.47
436,4111,1622,20240129,Defective,Refunded,273.13
437,4112,1622,20240205,Changed mind,Approved,0.0
438,4118,1625,20250101,Wrong item,Pending,0.0
439,4128,1629,20250911,Damaged,Refunded,44.92
440,4130,1629,20250902,Damaged,Approved,0.0
441,4133,1630,20240303,Missing parts,Refunded,145.57
442,4173,1644,20241221,Damaged,Pending,0.0
443,4174,1645,20241216,Damaged,Approved,0.0
444,4181,1648,20251025,Not as expected,Approved,0.0
445,4185,1649,20241012,Missing parts,Refunded,358.87
446,4195,1653,20250105,Not as expected,Refunded,172.76
447,4226,1663,20250903,Damaged,Pending,0.0
448,4237,1667,20241213,Changed mind,Refunded,58.32
449,4238,1667,20241209,Damaged,Refunded,30.21
450,4239,1668,20250202,Changed mind,Refunded,47.5
451,4248,1671,20240819,Wrong item,Refunded,31.08
452,4252,1672,20241109,Damaged,Pending,0.0
453,4259,1675,20250809,Changed mind,Refunded,100.39
454,4261,1677,20250911,Not as expected,Approved,0.0
455,4262,1677,20250927,Allergic reaction,Refunded,32.77
456,4265,1678,20240513,Not as expected,Refunded,25.26
457,4269,1679,20241202,Defective,Refunded,372.77
458,4273,1680,20250328,Damaged,Refunded,40.95
459,4285,1686,20250820,Changed mind,Refunded,131.29
460,4287,1687,20251220,Defective,Refunded,370.32
461,4293,1690,20250721,Changed mind,Refunded,21.46
462,4302,1693,20241126,Not as expected,Approved,0.0
463,4314,1697,20240122,Not as expected,Refunded,238.49
464,4349,1707,20241123,Damaged,Refunded,11.17
465,4373,1715,20240203,Not as expected,Refunded,162.76
466,4380,1718,20241028,Late delivery,Refunded,27.45
467,4405,1726,20250804,Late delivery,Refunded,12.12
468,4408,1728,20250531,Not as expected,Refunded,1186.39
469,4411,1729,20250905,Defective,Refunded,207.26
470,4422,1734,20240330,Not as expected,Refunded,144.34
471,4424,1734,20240404,Damaged,Refunded,266.16
472,4431,1736,20250913,Not as expected,Refunded,110.84
473,4449,1745,20251031,Not as expected,Refunded,16.19
474,4460,1748,20250106,Missing parts,Refunded,545.33
475,4480,1757,20241215,Changed mind,Refunded,101.31
476,4494,1762,20240530,Not as expected,Refunded,34.36
477,4506,1765,20250316,Allergic reaction,Refunded,29.98
478,4513,1768,20250912,Size/Fit,Refunded,56.58
479,4522,1771,20250424,Damaged,Pending,0.0
480,4523,1771,20250508,Defective,Refunded,312.2
481,4536,1776,20241114,Size/Fit,Refunded,94.62
482,4540,1779,20240311,Defective,Refunded,131.09
483,4542,1779,20240302,Not as expected,Refunded,61.64
484,4552,1783,20250511,Missing parts,Refunded,186.11
485,4558,1786,20250303,Damaged,Refunded,69.07
486,4561,1787,20250926,Changed mind,Refunded,52.14
487,4568,1790,20250801,Changed mind,Refunded,46.27
488,4571,1792,20251204,Missing parts,Refunded,423.68
489,4576,1793,20251105,Changed mind,Refunded,22.62
490,4581,1795,20241210,Damaged,Refunded,132.94
491,4599,1805,20240912,Not as expected,Approved,0.0
492,4609,1810,20251129,Damaged,Refunded,7.38
493,4619,1814,20250904,Damaged,Refunded,281.88
494,4620,1815,20250628,Changed mind,Refunded,86.0
495,4622,1816,20250701,Size/Fit,Refunded,168.72
496,4637,1821,20241224,Not as expected,Refunded,135.36
497,4641,1821,20241210,Wrong item,Refunded,11.94
498,4655,1827,20250721,Wrong item,Refunded,10.44
499,4656,1828,20251231,Not as expected,Refunded,296.64
500,4670,1833,20240125,Not as expected,Refunded,194.46
501,4677,1835,20251231,Late delivery,Approved,0.0
502,4685,1840,20240220,Changed mind,Refunded,79.25
503,4686,1841,20250509,Not as expected,Approved,0.0
504,4687,1841,20250513,Changed mind,Refunded,189.53
505,4688,1841,20250428,Defective,Approved,0.0
506,4697,1846,20250309,Changed mind,Refunded,180.84
507,4718,1855,20251231,Changed mind,Refunded,137.5
508,4734,1863,20251231,Size/Fit,Refunded,224.6
509,4738,1864,20241223,Not as expected,Refunded,314.83
510,4745,1867,20240905,Damaged,Refunded,39.92
511,4759,1873,20240403,Damaged,Approved,0.0
512,4760,1874,20240721,Not as expected,Refunded,48.61
513,4763,1876,20250520,Not as expected,Refunded,75.05
514,4798,1889,20241210,Allergic reaction,Refunded,107.19
515,4804,1892,20240125,Allergic reaction,Approved,0.0
516,4821,1899,20250916,Defective,Refunded,251.73
517,4858,1914,20241119,Changed mind,Refunded,27.62
518,4859,1915,20250525,Allergic reaction,Refunded,21.8
519,4861,1916,20240130,Not as expected,Refunded,203.16
520,4880,1925,20241005,Damaged,Refunded,32.57
521,4885,1927,20250605,Changed mind,Refunded,22.09
522,4887,1928,20240507,Not as expected,Refunded,90.01
523,4892,1930,20240601,Allergic reaction,Refunded,83.1
524,4896,1931,20250209,Size/Fit,Refunded,29.68
525,4897,1932,20251022,Not as expected,Refunded,93.44
526,4909,1937,20240812,Allergic reaction,Approved,0.0
527,4917,1939,20240328,Damaged,Refunded,12.11
528,4923,1940,20241009,Changed mind,Refunded,66.93
529,4958,1958,20241110,Defective,Pending,0.0
530,4964,1961,20250721,Allergic reaction,Refunded,34.4
531,4979,1967,20240424,Size/Fit,Refunded,136.83
532,4983,1968,20251227,Damaged,Refunded,447.76
533,4986,1969,20240331,Damaged,Refunded,153.28
534,4998,1974,20250417,Changed mind,Refunded,23.55
535,5013,1979,20240813,Damaged,Refunded,8.42
536,5030,1986,20240805,Missing parts,Refunded,742.37
537,5032,1987,20250611,Not as expected,Approved,0.0
538,5034,1988,20240810,Not as expected,Refunded,198.28
