ProductID,Category,Subcategory,Brand,BaseUnitPrice,EstimatedUnitCost,PriceBand
101,Electronics,Audio,Kora,100.35,56.57,Premium
102,Electronics,Laptops,Ridge,155.04,72.34,Premium
103,Beauty,Skincare,Fjord,31.28,22.05,Mid
104,Sports,Cycling,Linea,68.83,46.73,Mid
105,Home,Lighting,Solace,113.71,81.5,Premium
106,Home,Decor,Cairo,105.75,47.67,Premium
107,Electronics,Laptops,Solace,248.22,144.13,Premium
108,Home,Decor,Kora,200.64,107.58,Premium
109,Books,Education,Fjord,19.77,11.05,Budget
110,Fashion,Women,Kora,67.64,39.53,Mid
111,Home,Lighting,Ridge,158.6,101.13,Premium
112,Sports,Fitness,Fjord,97.74,56.29,Premium
113,Books,Non-fiction,Nova,19.23,13.53,Budget
114,Fashion,Bags,Aurum,55.53,25.75,Mid
115,Electronics,Gaming,Mira,106.27,65.05,Premium
116,Toys,Board Games,Mira,27.97,12.68,Mid
117,Grocery,Coffee & Tea,Pulse,14.81,7.13,Budget
118,Sports,Fitness,Vela,79.19,56.84,Mid
119,Fashion,Bags,Aurum,98.53,48.64,Premium
120,Home,Furniture,Pulse,79.9,52.65,Mid
121,Fashion,Bags,Fjord,80.15,39.72,Premium
122,Fashion,Accessories,Bloom,62.32,41.79,Mid
123,Books,Non-fiction,Pulse,12.45,7.74,Budget
124,Electronics,Phones,Mira,183.24,83.82,Premium
125,Fashion,Bags,Cairo,51.77,38.7,Mid
126,Home,Lighting,Linea,60.55,41.68,Mid
127,Books,Education,Linea,12.7,7.38,Budget
128,Electronics,Laptops,Atlas,98.22,67.44,Premium
129,Home,Kitchen,Nova,124.42,72.68,Premium
130,Books,Kids,Ridge,35.84,18.86,Mid
131,Electronics,Laptops,Solace,424.22,247.88,High-end
132,Grocery,Pantry,Atlas,12.17,7.39,Budget
133,Beauty,Haircare,Atlas,41.04,27.82,Mid
134,Books,Fiction,Solace,8.67,6.3,Budget
135,Grocery,Coffee & Tea,Linea,8.38,5.72,Budget
136,Beauty,Haircare,Fjord,44.42,30.1,Mid
137,Beauty,Makeup,Fjord,64.99,35.49,Mid
138,Electronics,Gaming,Vela,482.06,325.12,High-end
139,Electronics,Accessories,Fjord,198.13,98.84,Premium
140,Toys,Kids,Aurum,48.13,24.91,Mid
141,Sports,Cycling,Aurum,100.64,68.45,Premium
142,Grocery,Pantry,Kora,7.89,4.38,Budget
143,Electronics,Accessories,Orion,162.95,117.18,Premium
144,Books,Non-fiction,Mira,19.71,9.27,Budget
145,Electronics,Laptops,Kora,274.71,176.8,High-end
146,Books,Kids,Aurum,24.97,11.69,Mid
147,Home,Lighting,Atlas,58.64,34.12,Mid
148,Home,Cleaning,Ridge,102.21,51.2,Premium
149,Grocery,Snacks,Zenith,14.83,7.94,Budget
150,Fashion,Bags,Fjord,43.81,29.85,Mid
151,Sports,Team Sports,Solace,42.97,26.96,Mid
152,Grocery,Beverages,Ridge,8.32,3.76,Budget
153,Home,Kitchen,Orion,130.11,91.01,Premium
154,Electronics,Audio,Orion,360.38,261.34,High-end
155,Beauty,Haircare,Linea,39.49,22.57,Mid
156,Fashion,Men,Mira,37.57,18.81,Mid
157,Grocery,Pantry,Zenith,10.6,5.09,Budget
158,Electronics,Accessories,Kora,92.52,62.64,Premium
159,Beauty,Skincare,Pulse,61.62,28.31,Mid
160,Beauty,Skincare,Cairo,48.55,31.32,Mid
161,Grocery,Snacks,Mira,13.76,10.18,Budget
162,Beauty,Makeup,Bloom,87.66,40.45,Premium
163,Books,Fiction,Linea,9.16,6.8,Budget
164,Electronics,Phones,Cairo,227.52,167.7,Premium
165,Beauty,Makeup,Cairo,40.52,20.92,Mid
166,Books,Fiction,Solace,13.62,9.52,Budget
167,Books,Kids,Cairo,11.24,7.34,Budget
168,Home,Decor,Nova,60.57,44.18,Mid
169,Grocery,Coffee & Tea,Bloom,7.35,4.39,Budget
170,Grocery,Snacks,Atlas,6.58,3.94,Budget
171,Books,Non-fiction,Solace,30.59,20.79,Mid
172,Beauty,Skincare,Lumo,41.07,27.73,Mid
173,Beauty,Makeup,Cairo,28.57,14.21,Mid
174,Grocery,Pantry,Vela,14.55,10.29,Budget
175,Books,Kids,Lumo,11.96,6.05,Budget
176,Home,Lighting,Orion,146.03,78.51,Premium
177,Sports,Outdoor,Nova,111.52,80.2,Premium
178,Sports,Team Sports,Bloom,48.86,25.67,Mid
179,Grocery,Coffee & Tea,Lumo,14.77,9.16,Budget
180,Sports,Team Sports,Fjord,31.72,16.43,Mid
181,Fashion,Women,Zenith,78.12,46.91,Mid
182,Home,Lighting,Zenith,89.61,45.58,Premium
183,Books,Kids,Orion,19.78,12.38,Budget
184,Fashion,Women,Fjord,21.06,9.69,Mid
185,Home,Lighting,Ridge,103.8,66.63,Premium
186,Grocery,Snacks,Bloom,29.13,20.54,Mid
187,Fashion,Bags,Orion,111.86,76.95,Premium
188,Home,Decor,Vela,107.43,68.64,Premium
189,Fashion,Women,Lumo,35.97,25.68,Mid
190,Home,Decor,Linea,259.07,148.72,High-end
191,Home,Kitchen,Ridge,127.0,78.16,Premium
192,Electronics,Gaming,Aurum,244.75,171.81,Premium
193,Sports,Outdoor,Linea,120.55,64.13,Premium
194,Fashion,Men,Vela,84.22,45.76,Premium
195,Electronics,Audio,Vela,254.23,116.21,High-end
196,Sports,Outdoor,Pulse,43.86,21.16,Mid
197,Home,Decor,Aurum,129.78,83.88,Premium
198,Electronics,Laptops,Solace,127.09,80.89,Premium
199,Books,Non-fiction,Ridge,23.06,17.04,Mid
200,Electronics,Phones,Vela,187.07,104.93,Premium
201,Fashion,Bags,Solace,174.64,92.63,Premium
202,Sports,Outdoor,Orion,76.89,52.2,Mid
203,Books,Education,Vela,18.21,10.46,Budget
204,Electronics,Laptops,Nova,439.71,282.41,High-end
205,Books,Fiction,Kora,18.28,8.32,Budget
206,Grocery,Pantry,Solace,21.1,11.85,Mid
207,Toys,Board Games,Orion,74.25,34.18,Mid
208,Electronics,Laptops,Solace,184.93,111.39,Premium
209,Home,Lighting,Solace,46.96,24.56,Mid
210,Home,Cleaning,Lumo,89.2,55.68,Premium
211,Beauty,Makeup,Mira,155.03,96.47,Premium
212,Electronics,Gaming,Mira,200.85,132.65,Premium
213,Grocery,Coffee & Tea,Pulse,22.28,11.73,Mid
214,Sports,Team Sports,Vela,35.16,24.29,Mid
215,Grocery,Coffee & Tea,Bloom,13.98,6.59,Budget
216,Home,Furniture,Nova,139.71,92.71,Premium
217,Sports,Team Sports,Fjord,71.67,51.99,Mid
218,Grocery,Snacks,Solace,18.91,10.03,Budget
219,Electronics,Accessories,Aurum,192.85,88.57,Premium
220,Beauty,Haircare,Zenith,26.54,12.56,Mid
221,Toys,Puzzles,Vela,89.48,43.99,Premium
222,Fashion,Accessories,Kora,105.12,58.07,Premium
223,Fashion,Bags,Ridge,57.68,41.36,Mid
224,Electronics,Gaming,Vela,265.17,164.0,High-end
225,Fashion,Women,Vela,44.98,21.07,Mid
226,Beauty,Makeup,Bloom,50.99,28.5,Mid
227,Toys,Board Games,Bloom,88.21,47.23,Premium
228,Electronics,Accessories,Vela,166.58,99.84,Premium
229,Fashion,Accessories,Pulse,136.62,86.47,Premium
230,Home,Decor,Cairo,63.44,34.43,Mid
231,Home,Decor,Cairo,172.76,78.1,Premium
232,Home,Furniture,Bloom,139.08,90.15,Premium
233,Fashion,Bags,Fjord,33.49,17.06,Mid
234,Toys,Action Figures,Cairo,49.44,36.45,Mid
235,Fashion,Accessories,Nova,20.61,14.51,Mid
236,Electronics,Gaming,Aurum,107.84,60.91,Premium
237,Fashion,Women,Aurum,84.17,43.2,Premium
238,Electronics,Phones,Linea,390.77,216.97,High-end
239,Home,Furniture,Orion,97.05,70.94,Premium
240,Electronics,Accessories,Pulse,164.59,105.27,Premium
241,Books,Kids,Orion,26.12,12.71,Mid
242,Grocery,Snacks,Fjord,14.69,10.12,Budget
243,Sports,Fitness,Solace,77.9,44.06,Mid
244,Home,Cleaning,Aurum,256.57,118.18,High-end
245,Electronics,Audio,Pulse,356.52,190.89,High-end
246,Grocery,Pantry,Cairo,29.52,15.72,Mid
247,Electronics,Phones,Nova,127.0,85.27,Premium
248,Sports,Fitness,Atlas,22.83,13.78,Mid
249,Home,Decor,Mira,160.37,101.66,Premium
250,Fashion,Women,Lumo,72.06,44.73,Mid
251,Toys,Action Figures,Bloom,41.59,30.98,Mid
252,Electronics,Audio,Bloom,198.39,110.87,Premium
253,Electronics,Phones,Bloom,142.36,90.28,Premium
254,Sports,Fitness,Atlas,107.01,69.69,Premium
255,Books,Non-fiction,Vela,12.75,5.88,Budget
256,Home,Decor,Solace,149.8,80.22,Premium
257,Electronics,Gaming,Aurum,135.88,98.98,Premium
258,Books,Kids,Vela,8.63,3.94,Budget
259,Grocery,Snacks,Kora,13.73,7.06,Budget
260,Books,Non-fiction,Zenith,27.63,14.06,Mid
261,Electronics,Gaming,Pulse,290.35,188.16,High-end
262,Books,Education,Pulse,18.72,8.54,Budget
263,Beauty,Haircare,Bloom,42.15,23.83,Mid
264,Sports,Outdoor,Kora,44.88,32.18,Mid
265,Fashion,Bags,Fjord,60.34,28.77,Mid
266,Fashion,Bags,Lumo,85.83,60.95,Premium
267,Electronics,Laptops,Orion,107.04,77.02,Premium
268,Home,Decor,Kora,90.45,60.25,Premium
269,Beauty,Skincare,Mira,52.48,31.01,Mid
270,Home,Cleaning,Solace,56.61,29.83,Mid
271,Electronics,Audio,Ridge,101.75,62.93,Premium
272,Toys,Board Games,Orion,113.51,61.06,Premium
273,Beauty,Fragrance,Zenith,35.13,24.38,Mid
274,Electronics,Laptops,Cairo,455.71,288.2,High-end
275,Sports,Fitness,Mira,44.17,23.68,Mid
276,Grocery,Beverages,Aurum,8.31,4.63,Budget
277,Toys,Action Figures,Linea,38.56,17.92,Mid
278,Books,Education,Aurum,11.58,6.42,Budget
279,Fashion,Women,Mira,144.43,102.36,Premium
280,Electronics,Accessories,Aurum,162.89,111.07,Premium
281,Toys,Action Figures,Vela,45.57,32.16,Mid
282,Books,Kids,Kora,14.65,8.92,Budget
283,Home,Lighting,Orion,145.17,98.11,Premium
284,Home,Kitchen,Zenith,170.62,95.1,Premium
285,Toys,Action Figures,Orion,35.19,19.66,Mid
286,Toys,Kids,Nova,69.82,44.26,Mid
287,Grocery,Snacks,Kora,14.22,9.97,Budget
288,Toys,Action Figures,Atlas,23.05,13.31,Mid
289,Fashion,Bags,Aurum,41.82,28.06,Mid
290,Fashion,Bags,Lumo,75.97,47.0,Mid
291,Grocery,Pantry,Aurum,7.39,5.36,Budget
292,Home,Decor,Kora,114.64,63.44,Premium
293,Electronics,Laptops,Ridge,190.29,137.03,Premium
294,Home,Decor,Zenith,115.57,71.37,Premium
295,Beauty,Skincare,Fjord,71.03,44.02,Mid
296,Beauty,Makeup,Zenith,34.92,18.27,Mid
297,Electronics,Audio,Mira,164.26,100.77,Premium
298,Home,Decor,Aurum,76.02,45.8,Mid
299,Toys,Puzzles,Bloom,28.13,15.62,Mid
300,Grocery,Coffee & Tea,Pulse,11.08,5.51,Budget
301,Electronics,Phones,Solace,48.78,28.52,Mid
302,Beauty,Makeup,Bloom,50.31,26.58,Mid
303,Electronics,Phones,Ridge,219.02,162.56,Premium
304,Toys,Kids,Fjord,26.57,17.29,Mid
305,Electronics,Accessories,Fjord,379.33,225.41,High-end
306,Electronics,Gaming,Pulse,183.37,86.62,Premium
307,Fashion,Shoes,Nova,180.31,109.08,Premium
308,Electronics,Audio,Linea,151.91,78.25,Premium
309,Grocery,Pantry,Fjord,14.72,8.95,Budget
310,Grocery,Coffee & Tea,Nova,16.92,10.02,Budget
311,Beauty,Fragrance,Linea,32.31,17.53,Mid
312,Beauty,Skincare,Bloom,125.42,71.06,Premium
313,Electronics,Gaming,Cairo,270.3,187.01,High-end
314,Home,Lighting,Linea,69.93,46.87,Mid
315,Electronics,Accessories,Fjord,95.8,70.77,Premium
316,Home,Decor,Cairo,90.45,61.62,Premium
317,Fashion,Accessories,Pulse,95.79,51.21,Premium
318,Sports,Outdoor,Orion,135.69,68.51,Premium
319,Toys,Kids,Lumo,46.4,23.37,Mid
320,Fashion,Women,Zenith,49.97,28.11,Mid
321,Home,Decor,Lumo,74.87,39.66,Mid
322,Grocery,Coffee & Tea,Nova,19.03,12.66,Budget
323,Fashion,Men,Atlas,248.84,121.6,Premium
324,Beauty,Skincare,Nova,66.96,35.87,Mid
325,Home,Decor,Linea,115.77,53.54,Premium
326,Electronics,Accessories,Bloom,192.07,135.72,Premium
327,Electronics,Laptops,Lumo,147.35,102.98,Premium
328,Toys,Board Games,Atlas,25.86,14.42,Mid
329,Home,Furniture,Vela,165.96,108.85,Premium
330,Electronics,Laptops,Linea,493.92,344.27,High-end
331,Sports,Cycling,Vela,98.77,73.34,Premium
332,Fashion,Bags,Linea,62.02,40.43,Mid
333,Electronics,Laptops,Ridge,233.88,111.67,Premium
334,Books,Fiction,Zenith,18.45,10.43,Budget
335,Fashion,Women,Nova,68.08,48.29,Mid
336,Sports,Team Sports,Cairo,62.73,34.68,Mid
337,Books,Kids,Zenith,16.24,9.16,Budget
338,Sports,Fitness,Pulse,38.58,18.82,Mid
339,Home,Furniture,Atlas,61.99,31.66,Mid
340,Fashion,Women,Aurum,76.29,50.88,Mid
341,Electronics,Audio,Solace,331.41,170.08,High-end
342,Electronics,Laptops,Aurum,101.41,61.73,Premium
343,Home,Kitchen,Solace,209.14,138.26,Premium
344,Electronics,Audio,Nova,229.01,156.16,Premium
345,Electronics,Laptops,Pulse,524.19,248.72,High-end
346,Grocery,Coffee & Tea,Bloom,12.68,8.88,Budget
347,Home,Furniture,Kora,150.86,94.04,Premium
348,Home,Cleaning,Kora,83.15,39.91,Premium
349,Electronics,Accessories,Zenith,386.21,201.9,High-end
350,Fashion,Women,Bloom,62.96,31.78,Mid
351,Sports,Outdoor,Bloom,35.93,22.65,Mid
352,Books,Fiction,Kora,15.63,7.71,Budget
353,Beauty,Fragrance,Solace,58.45,30.64,Mid
354,Home,Furniture,Aurum,222.37,158.4,Premium
355,Beauty,Haircare,Zenith,27.8,18.5,Mid
356,Electronics,Phones,Fjord,217.89,118.61,Premium
357,Sports,Cycling,Lumo,50.79,24.01,Mid
358,Home,Decor,Zenith,198.43,126.81,Premium
359,Books,Education,Orion,20.64,14.42,Mid
360,Sports,Team Sports,Nova,61.21,34.04,Mid
361,Fashion,Bags,Lumo,74.88,48.21,Mid
362,Home,Cleaning,Aurum,79.58,52.11,Mid
363,Electronics,Laptops,Zenith,126.18,77.96,Premium
364,Home,Kitchen,Atlas,81.91,48.84,Premium
365,Beauty,Haircare,Pulse,44.84,22.62,Mid
366,Beauty,Haircare,Kora,45.64,25.49,Mid
367,Electronics,Audio,Solace,372.64,221.45,High-end
368,Toys,Action Figures,Mira,42.84,29.57,Mid
369,Electronics,Laptops,Orion,166.88,101.08,Premium
370,Electronics,Phones,Linea,117.55,53.73,Premium
371,Toys,Action Figures,Linea,56.03,30.66,Mid
372,Sports,Outdoor,Pulse,88.22,65.06,Premium
373,Home,Decor,Nova,145.79,94.24,Premium
374,Sports,Outdoor,Orion,89.5,62.28,Premium
375,Electronics,Accessories,Orion,608.9,379.89,High-end
376,Home,Kitchen,Zenith,80.24,48.35,Premium
377,Toys,Action Figures,Fjord,34.11,18.52,Mid
378,Fashion,Shoes,Pulse,144.77,66.98,Premium
379,Grocery,Beverages,Kora,13.03,6.46,Budget
380,Electronics,Gaming,Cairo,188.45,86.42,Premium
381,Grocery,Beverages,Nova,20.45,11.38,Mid
382,Fashion,Shoes,Solace,105.02,78.33,Premium
383,Electronics,Laptops,Kora,129.5,72.45,Premium
384,Electronics,Gaming,Cairo,220.52,137.77,Premium
385,Electronics,Laptops,Aurum,210.73,95.39,Premium
386,Sports,Fitness,Solace,76.61,49.86,Mid
387,Home,Cleaning,Atlas,155.96,76.34,Premium
388,Electronics,Laptops,Vela,242.9,168.13,Premium
389,Sports,Fitness,Solace,76.09,43.61,Mid
390,Fashion,Shoes,Kora,84.29,55.41,Premium
391,Fashion,Bags,Atlas,45.03,30.48,Mid
392,Electronics,Laptops,Orion,146.88,70.38,Premium
393,Home,Kitchen,Mira,172.54,89.18,Premium
394,Electronics,Accessories,Linea,220.5,124.89,Premium
395,Fashion,Accessories,Atlas,74.0,37.25,Mid
396,Home,Kitchen,Kora,192.13,91.3,Premium
397,Toys,Puzzles,Aurum,33.38,18.43,Mid
398,Books,Non-fiction,Pulse,18.47,11.7,Budget
399,Books,Non-fiction,Bloom,17.53,8.1,Budget
400,Fashion,Women,Solace,93.3,49.82,Premium
401,Grocery,Snacks,Atlas,11.83,8.35,Budget
402,Home,Cleaning,Pulse,105.39,72.82,Premium
403,Electronics,Phones,Kora,432.95,216.92,High-end
404,Sports,Outdoor,Atlas,59.33,43.73,Mid
405,Fashion,Women,Fjord,86.17,52.39,Premium
406,Beauty,Makeup,Cairo,44.67,29.61,Mid
407,Fashion,Accessories,Aurum,96.13,64.51,Premium
408,Home,Decor,Mira,134.82,66.2,Premium
409,Books,Non-fiction,Ridge,26.3,17.42,Mid
410,Grocery,Beverages,Mira,5.36,3.05,Budget
411,Electronics,Accessories,Fjord,71.5,47.48,Mid
412,Sports,Outdoor,Zenith,156.0,73.91,Premium
413,Fashion,Women,Solace,105.41,47.83,Premium
414,Beauty,Haircare,Aurum,56.05,34.21,Mid
415,Home,Decor,Fjord,80.45,54.2,Premium
416,Toys,Board Games,Aurum,18.46,12.6,Budget
417,Home,Kitchen,Kora,66.32,41.97,Mid
418,Sports,Team Sports,Aurum,59.89,31.97,Mid
419,Electronics,Accessories,Lumo,168.39,105.09,Premium
420,Electronics,Audio,Vela,139.75,100.98,Premium
421,Fashion,Men,Orion,100.3,71.08,Premium
422,Books,Non-fiction,Lumo,14.04,6.94,Budget
423,Grocery,Beverages,Nova,7.01,5.22,Budget
424,Sports,Outdoor,Linea,44.54,31.08,Mid
425,Home,Kitchen,Mira,91.78,47.97,Premium
426,Electronics,Phones,Orion,205.48,104.38,Premium
427,Toys,Kids,Ridge,66.35,39.27,Mid
428,Home,Furniture,Nova,87.92,57.07,Premium
429,Fashion,Accessories,Kora,77.79,43.33,Mid
430,Beauty,Fragrance,Kora,59.75,35.36,Mid
431,Electronics,Accessories,Lumo,406.28,223.75,High-end
432,Toys,Puzzles,Atlas,37.57,17.39,Mid
433,Books,Kids,Bloom,24.67,14.81,Mid
434,Electronics,Phones,Vela,247.83,121.93,Premium
435,Grocery,Coffee & Tea,Solace,13.49,7.41,Budget
436,Fashion,Men,Aurum,51.52,27.44,Mid
437,Electronics,Audio,Vela,153.29,101.89,Premium
438,Sports,Team Sports,Solace,41.18,25.92,Mid
439,Books,Non-fiction,Kora,19.21,10.69,Budget
440,Books,Education,Ridge,16.59,8.55,Budget
441,Toys,Board Games,Ridge,51.39,34.26,Mid
442,Fashion,Accessories,Fjord,121.92,66.04,Premium
443,Home,Lighting,Cairo,65.13,42.6,Mid
444,Beauty,Fragrance,Mira,68.2,35.15,Mid
445,Sports,Cycling,Fjord,45.48,22.6,Mid
446,Electronics,Phones,Nova,584.49,367.14,High-end
447,Home,Furniture,Ridge,96.88,67.71,Premium
448,Home,Decor,Mira,122.0,60.08,Premium
449,Grocery,Pantry,Linea,8.28,4.85,Budget
450,Beauty,Haircare,Kora,40.78,21.24,Mid
451,Home,Lighting,Ridge,274.73,156.5,High-end
452,Home,Kitchen,Kora,111.88,55.89,Premium
453,Electronics,Phones,Ridge,159.19,111.82,Premium
454,Electronics,Laptops,Ridge,479.37,227.47,High-end
455,Beauty,Makeup,Solace,27.34,18.0,Mid
456,Electronics,Audio,Mira,166.05,91.53,Premium
457,Books,Fiction,Mira,9.66,6.79,Budget
458,Toys,Action Figures,Kora,24.49,15.16,Mid
459,Toys,Action Figures,Orion,67.19,44.49,Mid
460,Toys,Action Figures,Aurum,62.75,46.02,Mid
461,Sports,Cycling,Orion,135.68,94.0,Premium
462,Electronics,Phones,Pulse,387.82,176.43,High-end
463,Fashion,Women,Cairo,62.64,38.57,Mid
464,Home,Cleaning,Atlas,84.28,42.88,Premium
465,Home,Lighting,Solace,113.55,57.27,Premium
466,Fashion,Men,Ridge,42.82,27.81,Mid
467,Home,Kitchen,Aurum,90.08,49.99,Premium
468,Sports,Outdoor,Vela,122.69,80.59,Premium
469,Electronics,Gaming,Cairo,147.56,102.33,Premium
470,Fashion,Shoes,Cairo,112.92,76.79,Premium
471,Books,Fiction,Zenith,6.66,3.2,Budget
472,Home,Furniture,Ridge,55.44,26.41,Mid
473,Sports,Team Sports,Nova,88.84,53.02,Premium
474,Beauty,Makeup,Solace,88.61,41.1,Premium
475,Fashion,Women,Cairo,44.61,29.44,Mid
476,Electronics,Audio,Fjord,440.08,232.09,High-end
477,Grocery,Beverages,Bloom,9.06,4.16,Budget
478,Beauty,Fragrance,Lumo,15.53,11.61,Budget
479,Beauty,Skincare,Kora,52.85,34.05,Mid
480,Books,Kids,Ridge,17.58,12.81,Budget
481,Electronics,Phones,Ridge,119.14,77.6,Premium
482,Fashion,Women,Atlas,65.39,44.38,Mid
483,Toys,Kids,Vela,53.52,37.19,Mid
484,Grocery,Beverages,Orion,31.08,20.38,Mid
485,Electronics,Laptops,Mira,93.27,66.52,Premium
486,Sports,Cycling,Solace,114.93,75.57,Premium
487,Books,Non-fiction,Lumo,19.66,13.56,Budget
488,Toys,Puzzles,Linea,61.66,44.11,Mid
489,Fashion,Bags,Aurum,164.47,102.45,Premium
490,Grocery,Coffee & Tea,Lumo,15.46,10.3,Budget
491,Grocery,Pantry,Pulse,23.77,16.45,Mid
492,Sports,Cycling,Nova,70.78,32.84,Mid
493,Sports,Cycling,Kora,48.63,26.59,Mid
494,Fashion,Women,Kora,57.41,34.04,Mid
495,Home,Cleaning,Linea,63.43,40.94,Mid
496,Sports,Fitness,Linea,119.5,84.65,Premium
497,Electronics,Laptops,Fjord,542.67,382.2,High-end
498,Grocery,Snacks,Bloom,10.32,6.89,Budget
499,Books,Kids,Fjord,16.8,7.58,Budget
500,Electronics,Phones,Cairo,161.38,102.14,Premium
